# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2013-01-17 14:32:10.200000
5.451488022368118358e-01,-1.770954568630567216e-02,2.035670710133137717e+00,7.126227828859550417e-01
2.972649426547281371e-01,2.434117954810107065e+00,1.339006609163040373e+00,2.101457910968344223e+00
1.614662980398593239e+00,2.568369536385372243e+00,1.480881730189280265e+00,7.028114829225572402e-01
1.382966835905234060e+00,9.846141657368310263e-01,1.610133874914590368e+00,1.921421035096311680e+00
2.922137449015913546e+00,6.900291048012658912e-01,7.119597822618000116e-01,6.760373137300204061e-01
-2.105526116582161489e-01,-7.118127449596265421e-01,6.251778177981259788e-01,-1.528164632920139265e-01
2.127575340154700179e+00,2.586689642509162335e-01,1.702531449852991763e+00,1.719082390499501400e+00
9.949308794237072817e-01,1.698138227444665471e+00,-6.037063660919155250e-01,3.845933669634803431e-01
1.271253572438335588e-02,-1.256898754528226192e-01,-8.161091114240637268e-02,9.894547909894606530e-01
-1.076066403918685133e-01,2.193155703183113037e+00,1.081936022666226682e+00,6.835381285485768732e-01
